tau	g_0_tau_up
14.8125	(-1.2860315274085656e-05-0.008780256097500149j)
14.875	(0.0004223013219423839-0.008737090804788038j)
14.9375	(-1.264996982631994e-05-0.008713990223179723j)
15.0	(0.00041904658965048356-0.008671450707644083j)
15.0625	(-1.244582660597229e-05-0.00864880189199364j)
15.125	(0.00041584434861078635-0.00860687384152057j)
15.1875	(-1.2247814633438783e-05-0.008584665644912243j)
15.25	(0.000412693247587258-0.008543335146552235j)
15.3125	(-1.2055814640012314e-05-0.008521556745959183j)
15.375	(0.0004095920513630181-0.008480810291576813j)
15.4375	(-1.1869625921801874e-05-0.00845945120142075j)
15.5	(0.0004065396539138372-0.00841927570086217j)
15.5625	(-1.1688969998261117e-05-0.008398325787802308j)
15.625	(0.0004035350556049588-0.008358708577612485j)
15.6875	(-1.1513525981471373e-05-0.008338158065982275j)
15.75	(0.0004005773158485427-0.008299086905479564j)
15.8125	(-1.1342981807168457e-05-0.008278926368130789j)
15.875	(0.0003976654992822789-0.008240389420580736j)
15.9375	(-1.1177083118661278e-05-0.008220609755563386j)
16.0	(0.00039479863232660256-0.008182595557079285j)
16.0625	(-1.1015665170262257e-05-0.008163187954453997j)
16.125	(0.0003919756820393466-0.008125685376129382j)
16.1875	(-1.0858658716601105e-05-0.008106641281342065j)
16.25	(0.0003891955633296212-0.008069639491766322j)
16.3125	(-1.0706067023199574e-05-0.008050950573282055j)
16.375	(0.00038645717375662496-0.008014439009408063j)
16.4375	(-1.055791894528208e-05-0.007996097138399513j)
16.5	(0.0003837594463338592-0.00796006549168718j)
16.5625	(-1.041421232746316e-05-0.007942062738978283j)
16.625	(0.0003811014020263389-0.00790650095939366j)
16.6875	(-1.027486871054686e-05-0.00788882960888123j)
16.75	(0.00037848218038256205-0.007853727922232021j)
16.8125	(-1.0139718826796202e-05-0.007836380492677004j)
16.875	(0.0003759010336380304-0.0078017294202934835j)
16.9375	(-1.000852640979091e-05-0.007784698682852113j)
17.0	(0.0003733572853253564-0.007750489050939655j)
17.0625	(-9.88104048593925e-06-0.007733768031413547j)
17.125	(0.0003708502709156285-0.00769999096219128j)
17.1875	(-9.757053215169462e-06-0.007683572924278374j)
17.25	(0.00036837928574101424-0.0076502198097367705j)
17.3125	(-9.636439061859719e-06-0.0076340982243702765j)
17.375	(0.0003659435603378749-0.007601160691073316j)
17.4375	(-9.519161462092762e-06-0.0075853292023094245j)
