tau	g_0_tau_up
47.875	(-0.39347826992682244374-1.9674102425558108345e-16j)
48.0	(-0.39339443912722077412-1.9457937632185340771e-16j)
48.125	(-0.39331127872697119185-1.9412043004822938626e-16j)
48.25	(-0.39322878829626423114-1.9433546392026867134e-16j)
48.375	(-0.39314696740895843652-1.9295495903492177196e-16j)
48.5	(-0.39306581564257436767-1.8757734537615123184e-16j)
48.625	(-0.39298533257828871523-1.8643513468166860868e-16j)
48.75	(-0.39290551780092408674-1.8564343019122675526e-16j)
48.875	(-0.39282637089894467675-1.815336792707080934e-16j)
49.0	(-0.3927478914644469965-1.7716168562623052008e-16j)
49.125	(-0.39267007909315548853-1.7486095885303062848e-16j)
49.25	(-0.39259293338441181298-1.6902782675709448665e-16j)
49.375	(-0.39251645394117196108-1.7373016325100123711e-16j)
49.5	(-0.39244064036999709577-1.7604612338236190526e-16j)
49.625	(-0.39236549228104833364-1.6741871562021753213e-16j)
49.75	(-0.39229100928807814075-1.6023458582574548253e-16j)
49.875	(-0.39221719100842511452-1.6738104912384431746e-16j)
50.0	(-0.39214403706300793306-1.6296392450514585095e-16j)
50.125	(-0.39207154707631736157-1.5910666219480287527e-16j)
50.25	(-0.3919997206764108122-1.5557788323187205751e-16j)
50.375	(-0.39192855749490629336-1.5101764974975701679e-16j)
50.5	(-0.39185805716697602596-1.5033899768799401076e-16j)
50.625	(-0.39178821933133911593-1.4815043660585630971e-16j)
50.75	(-0.3917190436302572243-1.5042117973621237917e-16j)
50.875	(-0.39165052970952674016-1.4965847288932418468e-16j)
51.0	(-0.39158267721847472842-1.4506065232017473438e-16j)
51.125	(-0.39151548580995088056-1.4634947250642625616e-16j)
51.25	(-0.3914489551403234069-1.3733503024439077159e-16j)
51.375	(-0.39138308486947215314-1.3627899853484637307e-16j)
51.5	(-0.3913178746607837155-1.3526956687229076191e-16j)
51.625	(-0.39125332418114477928-1.3781273697430749571e-16j)
51.75	(-0.39118943310093762245-1.3155128413974649573e-16j)
51.875	(-0.3911262010940331213-1.2616574939943014781e-16j)
52.0	(-0.39106362783778680914-1.2336657020655070215e-16j)
52.125	(-0.39100171301303277005-1.1928570443302239203e-16j)
52.25	(-0.3909404563040781433-1.22853936602449539e-16j)
52.375	(-0.39087985739869790525-1.1937455686570038805e-16j)
