wn	g_0_wn_up
-85.93564904507080371	(1.8673792443429789713e-18+0.011633456126843230716j)
-85.8047493511712247	(5.7462748933759361772e-19+0.0116511954621733703624j)
-85.6738496572716457	(-7.803248843922841425e-19+0.011668988966302720062j)
-85.54294996337206669	(3.0909579745758751216e-19+0.011686836887669308643j)
-85.412050269472501896	(-2.0517756510768668274e-19+0.0117047394762323613004j)
-85.28115057557292289	(1.8069578109667863657e-19+0.0117226969834839864215j)
-85.150250881673358094	(-2.7695249595747216104e-19+0.011740709662460881504j)
-85.01935118777377909	(4.3230939842330076954e-19+0.011758777767756250707j)
-84.88845149387420008	(4.430000096746415371e-19+0.011776901555531777907j)
-84.757551799974621076	(6.672359775286587176e-19+0.011795081283529721197j)
-84.62665210607505628	(-2.015756898057304704e-18+0.011813317211085114927j)
-84.495752412175477275	(-1.1848223788446206388e-20+0.011831609599138091446j)
-84.36485271827589827	(2.5818405332125437098e-19+0.0118499587102463190685j)
-84.233953024376333474	(-8.759709002270250321e-19+0.011868364808597544127j)
-84.10305333047675447	(-2.4488998166715977892e-19+0.011886828160022270065j)
-83.97215363657717546	(2.9817703359751055363e-18+0.011905349032006547552j)
-83.841253942677596456	(1.1578231895553709825e-18+0.011923927693704827052j)
